,title,price,description,image_url
0,Läsk,3 för 40 kr,"Trocadero, Loka crush, Cuba Cola. 140-150 cl. Jmfpris 8:89-9:52/liter + pant. Ord.pris 17:50-20:95 kr. ","https://assets.icanet.se/$y_h,$x_w,$pi_current:public_id/c_fit,w_$x,h_$y,u_7310401052465,x_$y_mul_-0.3,y_$x_mul_-0.3/c_fit,w_$x,h_$y,u_7310401050324,x_$y_mul_-0.3,y_$x_mul_0.6,g_south_east/c_lpad,q_auto,f_auto,w_200,h_200/7310401034584"
1,Kaffe,2 för 99 kr,Zoégas. 450 g. Max 1 köp/hushåll. Jmfpris 110:00/kg. Ord.pris 66:00-72:00 kr. ,"https://assets.icanet.se/$y_h,$x_w,$pi_current:public_id/c_fit,w_$x,h_$y,u_7310731101734,x_$y_mul_-0.3,y_$x_mul_-0.3/c_lpad,q_auto,f_auto,w_200,h_200/7310731101666"
2,"Herrgård®, Präst®, Grevé®",99 kr/kg,Arla. Ca 700 g. Ord.pris 135:00-165:00 kr. ,"https://assets.icanet.se/$y_h,$x_w,$pi_current:public_id/c_fit,w_$x,h_$y,u_2340428600009,x_$y_mul_-0.3,y_$x_mul_-0.3/c_fit,w_$x,h_$y,u_2340418100007,x_$y_mul_-0.3,y_$x_mul_0.6,g_south_east/c_lpad,q_auto,f_auto,w_200,h_200/2340415200007"
3,Glass,2 för 30 kr,"Triumf Glass. 0,5 liter. Jmfpris 30:00/liter. Ord.pris 18:95 kr. ","https://assets.icanet.se/$y_h,$x_w,$pi_current:public_id/c_fit,w_$x,h_$y,u_7312060501179,x_$y_mul_-0.3,y_$x_mul_-0.3/c_lpad,q_auto,f_auto,w_200,h_200/7312060500622"
4,Fryst kycklingfilé,2 för 179 kr,Kronfågel. Ursprung Sverige. 1000 g. Max 1 köp/hushåll. Jmfpris 89:50/kg. Ord.pris 105:00 kr. ,"https://assets.icanet.se/$y_h,$x_w,$pi_current:public_id/c_fit,w_$x,h_$y,u_7300322544002,x_$y_mul_-0.3,y_$x_mul_0.6,g_south_east/c_lpad,q_auto,f_auto,w_200,h_200/7300322544002"
5,Kexchoklad,5 för 35 kr,Cloetta. 60 g. Jmfpris 116:67/kg. Ord.pris 9:95 kr. ,"https://assets.icanet.se/c_lpad,q_auto,f_auto,w_200,h_200/7310350118342"
6,Vispgrädde,25 kr/st,"Arla Ko, Arla Köket. 5 dl. Max 2 köp/hushåll. Jmfpris 50:00/liter. Ord.pris 34:50-36:50 kr. ","https://assets.icanet.se/c_lpad,q_auto,f_auto,w_200,h_200/7310865003201"
7,Chokladhjärta,79 kr/st,Lindt. 200 g. Jmfpris 395:00/kg. Ord.pris 109:00 kr. ,"https://assets.icanet.se/$y_h,$x_w,$pi_current:public_id/c_fit,w_$x,h_$y,u_8003340093253,x_$y_mul_-0.3,y_$x_mul_0.6,g_south_east/c_lpad,q_auto,f_auto,w_200,h_200/8003340800806"
8,Pizza Rustica,45 kr/st,Dr Oetker. 540-610 g. Jmfpris 73:77-83:33/kg. Ord.pris 61:00-65:00 kr. 30dgr.pris 45:00 kr. ,"https://assets.icanet.se/$y_h,$x_w,$pi_current:public_id/c_fit,w_$x,h_$y,u_4001724010753,x_$y_mul_-0.3,y_$x_mul_-0.3/c_fit,w_$x,h_$y,u_4001724010784,x_$y_mul_-0.3,y_$x_mul_0.6,g_south_east/c_lpad,q_auto,f_auto,w_200,h_200/4001724032601"
9,Skogaholmslimpa,25 kr/st,Skogaholm. 775 g. Jmfpris 32:26/kg. Ord.pris 28:50 kr. ,"https://assets.icanet.se/c_lpad,q_auto,f_auto,w_200,h_200/7312200010110"
